CPUs	COLROW	Nodes	2day timing (seconds)	sec/hr	spot cost ($/hr)	on-demand cost ($/hr)			Scaling	IdealScaling		Efficiency	SBATCHexclusive
36	6x6	1	12548.19	3600	4.089315697	13.52416033			1	1		100	yes
72	6x12	2	6713.7	3600	4.375840467	14.47175333			1.869042406	2	2	93.45212029	yes
72	8x9	2	6824.77	3600	4.448233424	14.71117089			1.838624598	2	2	91.9312299	yes
72	9x8	2	6562.3	3600	4.277161311	14.14540222			1.912163418	2	2	95.60817092	yes
108	6x18	3	4550.72	3600	4.449087253	14.71399467			2.757407619	3	3	91.9135873	yes
108	12x9	3	5128.93	3600	5.014383897	16.58354033			2.44655123	3	3	81.55170767	yes
108	9x12	3	4596.22	3600	4.493571087	14.86111133			2.73011083	3	3	91.00369434	yes
180	10x18	5	4706.89	3600	7.669615761	25.36490722			2.665919535	5	5	53.3183907	no
180	10x18	5	4588.92	3600	7.4773902	24.72918			2.734453858	5	5	54.68907717	no
180	10x18	5	2980.9	3600	4.857210944	16.06373889			4.209530679	5	5	84.19061357	yes
256	16x16	8	2454.12	3600	6.39816352	21.159968			5.113111828	7.111111111	8	63.91389785	no
256	16x16	8	2471.29	3600	6.442927618	21.30801156			5.077587009	7.111111111	8	63.46983762	no
256	16x16	8	2946.7	3600	7.682374311	25.40710222			4.258387349	7.111111111	8	53.22984186	no
288	16x18	8	3572.2	3600	9.313122311	30.80030222			3.512734449	8	8	43.90918062	no
288	16x18	8	2775.53	3600	7.236115102	23.93123644			4.521006799	8	8	56.51258498	yes
288	16x18	8	3847.96	3600	10.03205927	33.17796622			3.260998035	8	8	40.76247544	no
288	16x18	8	2287.64	3600	5.964131662	19.72454044			5.485211834	8	8	68.56514793	yes
288	18x16	8	2301.77	3600	6.000970142	19.84637244			5.451539467	8	8	68.14424334	yes
