CPUs	COLROW	cost per hr	Nodes	2day timing (seconds)	sec/hr	spot cost ($/hr)	on-demand cost ($/hr)		Scaling	IdealScaling	volume	Efficiency	IO
18	3x6	0.5971	1	27223.36	3600	4.515296738	14.93296228		.894	1	fsx		fsx
18	3x6	0.5971	1	24354.39	3600	4.039446186	13.35923219		1	1	shared	100	shared
18	6x3	0.5971	1	24789.83	3600	4.111668748	13.59808621		0.982434732	1	shared		shared
36	6x3	0.5971	2	12073.71	3600	4.005117912	13.24570192		2.017142204	2	shared	100.8571102	shared
54	6x9	0.5971	3	8146.46	3600	4.053542722	13.40585217		2.989567248	3	shared	99.65224159	shared
54	9x6	0.5971	3	8377.05	3600	4.168280463	13.78531213		2.907275234	3	shared	96.90917447	shared
72	8x9	0.5971	4	6318.67	3600	4.192086508	13.86404334		3.854353843	4	shared	96.35884609	shared
90	9x10	0.5971	5	5362.11	3600	4.446827613	14.7065216		4.541941512	5	shared	90.83883024	shared
108	6x18	0.5971	6	4624.48	3600	4.602128347	15.22013125		5.266406169	6	shared	87.77343615	shared
126	9x14	0.5971	7	4042.71	3600	4.693698608	15.52297187		6.024273322	7	shared	86.06104745	shared
