CPUs	NodesxCPU	COLROW	Day1Timing(sec)	Day2Timing(sec)	TotalTime	CPUHours/day	SBATCHexclusive	Disable Simultaneous Multithreading (yaml)	with -march=native	InputData	EquationusingSpotPricing	SpotCost	EquationusingOnDemandPricing	OnDemandCost	ComputeNode
18	1x18	3x6	14341.77	12881.59	27223.36	3.78	yes	TRUE	no	/fsx	0.5971/hr * 1 node * 7.56 hr=	4.51	1.944/hr * 1 node * 7.56 hr =	14.69	c5n.9xlarge
18	1x18	3x6	12955.32	11399.07	24354.39	3.38	yes	TRUE	no	/shared	0.5971/hr * 1 node * 6.76 hr =	4.03	1.944/hr * 1 node * 6.76 =	13.15	c5n.9xlarge
18	1x18	6x3	13297.84	11491.99	24789.83	3.44	yes	TRUE	no	/shared	0.5971/hr * 1 node * 6.89 hr =	4.11	1.944/hr * 1 node * 6.89 =	13.39	c5n.9xlarge
36	2x18	6x6	6473.950	5599.760	12073.71	1.67	yes	TRUE	no	/shared	0.5971/hr * 2 node * 3.35 hr=	4.00	1.944/hr * 2 node * 3.35 hr =	13.02	c5n.9xlarge
36	2x18	6x6	6726.720	5821.470	12548.19	1.74	yes	TRUE	no	/fsx	0.5971/hr * 2 node * 3.48 hr =	4.16	1.944/hr * 2 node * 3.48 hr =	13.5	c5n.9xlarge
36	1x36	6x6	6726.720	5821.470	12548.19	1.74	yes	TRUE	yes	/fsx	1.1732/hr * 1 node * 3.486 hr=	4.09	3.888/hr * 1 node * 3.496 hr =	13.59	c5n.18xlarge
54	3x18	6x9	4356.330	3790.130	8146.460	1.13	yes	TRUE	no	/shared	0.5971/hr * 3 node * 2.26 hr=	4.05	1.944/hr * 3 node * 2.26 hr =	13.2	c5n.9xlarge
54	3x18	9x6	4500.290	3876.760	8377.050	1.16	yes	TRUE	no	/shared	0.5971/hr * 3 node * 2.33 hr =	4.17	1.944/hr * 3 node * 2.33 =	13.58	c5n.9xlarge
72	4x18	8x9	3382.010	2936.660	6318.670	0.8775	yes	TRUE	no	/shared	0.5971/hr * 4 node * 1.755 hr=	4.19	1.944/hr * 4 node * 1.755 hr =	13.2	c5n.9xlarge
72	2x36	6x12	3562.500	3151.210	6713.710	0.93	yes	TRUE	yes	/fsx	1.1732/hr * 2 nodes * 1.86 hr =	4.37	3.888/hr * 2 nodes * 1.8649 =	14.5	c5n.18xlarge
72	2x36	8x9	3665.650	3159.120	6824.770	0.95	yes	TRUE	yes	/fsx	1.1732/hr * 2 nodes * 1.9 hr =	4.45	3.888/hr * 2 nodes * 1.8649 =	14.7	c5n.18xlarge
72	2x36	9x8	3562.610	2999.690	6562.300	0.91	yes	TRUE	yes	/fsx	1.1732/hr * 2 nodes * 1.82 hr =	4.28	3.888/hr * 2 nodes * 1.8649 =	14.16	c5n.18xlarge
