CPUs	NodesxCPU	COLROW	Day1 Timing (sec)	Day2 Timing (sec)	TotalTime	CPU Hours/day	SBATCHexclusive	Disable Simultaneous Multithreading (yaml)	with -march=native	InputData	Equation using Spot Pricing	SpotCost	Equation using On Demand Pricing	OnDemandCost
18	1x18	3x6	14341.77	12881.59	27223.36	3.78	yes	TRUE	no	/fsx	0.5971/hr * 1 node * 7.56 hr=	4.51	1.944/hr * 1 node * 7.56 hr =	14.69
18	1x18	3x6	12955.32	11399.07	24354.39	3.38	yes	TRUE	no	/shared	0.5971/hr * 1 node * 6.76 hr =	4.03	1.944/hr * 1 node * 6.76 =	13.15
18	1x18	6x3	13297.84	11491.99	24789.83	3.44	yes	TRUE	no	/shared	0.5971/hr * 1 node * 6.89 hr =	4.11	1.944/hr * 1 node * 6.89 =	13.39
36	2x18	6x6	6473.95	5599.76	12073.71	1.67	yes	TRUE	no	/shared	0.5971/hr * 2 node * 3.35 hr=	4	1.944/hr * 2 node * 3.35 hr =	13.02
36	2x18	6x6	6726.72	5821.47	12548.19	1.74	yes	TRUE	no	/fsx	0.5971/hr * 2 node * 3.48 hr =	4.16	1.944/hr * 2 node * 3.48 hr =	13.5
54	3x18	6x9	4356.33	3790.13	8146.46	1.13	yes	TRUE	no	/shared	0.5971/hr * 3 node * 2.26 hr=	4.05	1.944/hr * 3 node * 2.26 hr =	13.2
54	3x18	9x6	4500.29	3876.76	8377.05	1.16	yes	TRUE	no	/shared	0.5971/hr * 3 node * 2.33 hr =	4.17	1.944/hr * 3 node * 2.33 =	13.58
72	4x18	8x9	3382.01	2936.66	6318.67	0.8775	yes	TRUE	no	/shared	0.5971/hr * 4 node * 1.755 hr=	4.19	1.944/hr * 4 node * 1.755 hr =	13.2
90	5x18	9x10	2878.55	2483.56	5362.11	0.745	yes	TRUE	no	/shared	0.5971/hr * 5 node * 1.49 hr=	4.45	1.944/hr * 5 node * 1.49 hr =	14.44
108	6x18	6x18	2415.46	2135.26	4550.72	0.632	yes	TRUE	no	/fsx	0.5971/hr * 6 node * 1.26 hr =	4.53	1.944/hr * 6 node * 1.26 hr =	14.7
108	6x18	9x12	2463.41	2161.07	4624.48	0.642	yes	TRUE	no	/shared	0.5971/hr * 6 node * 1.28 hr=	4.6	1.944/hr * 6 node * 1.28 hr =	14.9
126	7x18	9x14	2144.86	1897.85	4042.71	0.56	yes	TRUE	no	/shared	0.5971/hr * 7 node * 1.12 hr=	4.69	1.944/hr * 7 node * 1.12 hr =	15.24
