    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20151201, 20161206, 20161206, 20161206, 20161206, 20161207, 20161207, 20161201
20151202, 20161206, 20161206, 20161206, 20161206, 20161208, 20161208, 20161202
20151203, 20161206, 20161206, 20161206, 20161206, 20161209, 20161209, 20161203
20151204, 20161206, 20161206, 20161210, 20161210, 20161210, 20161210, 20161204
20151205, 20161206, 20161206, 20161211, 20161211, 20161211, 20161211, 20161205
20151206, 20161206, 20161206, 20161205, 20161205, 20161205, 20161205, 20161206
20151207, 20161206, 20161206, 20161206, 20161206, 20161206, 20161206, 20161207
20151208, 20161206, 20161206, 20161206, 20161206, 20161207, 20161207, 20161208
20151209, 20161206, 20161206, 20161206, 20161206, 20161208, 20161208, 20161209
20151210, 20161206, 20161206, 20161206, 20161206, 20161209, 20161209, 20161210
20151211, 20161206, 20161206, 20161210, 20161210, 20161210, 20161210, 20161211
20151212, 20161206, 20161206, 20161211, 20161211, 20161211, 20161211, 20161212
20151213, 20161206, 20161206, 20161205, 20161205, 20161205, 20161205, 20161213
20151214, 20161206, 20161206, 20161206, 20161206, 20161206, 20161206, 20161214
20151215, 20161206, 20161206, 20161206, 20161206, 20161207, 20161207, 20161215
20151216, 20161206, 20161206, 20161206, 20161206, 20161208, 20161208, 20161216
20151217, 20161206, 20161206, 20161206, 20161206, 20161209, 20161209, 20161217
20151218, 20161206, 20161206, 20161210, 20161210, 20161210, 20161210, 20161218
20151219, 20161206, 20161206, 20161211, 20161211, 20161211, 20161211, 20161219
20151220, 20161206, 20161206, 20161205, 20161205, 20161205, 20161205, 20161220
20151221, 20161206, 20161206, 20161206, 20161206, 20161206, 20161206, 20161221
20151222, 20161206, 20161206, 20160104, 20160101, 20161207, 20161207, 20161222
20151223, 20161206, 20161206, 20160105, 20160102, 20161208, 20161208, 20161223
20151224, 20161206, 20161224, 20160105, 20160104, 20161209, 20161224, 20161224
20151225, 20161206, 20161225, 20161210, 20161225, 20161210, 20161225, 20161225
20151226, 20161206, 20161226, 20161211, 20161226, 20161211, 20161226, 20161226
20151227, 20161206, 20161206, 20161205, 20161205, 20161205, 20161205, 20161227
20151228, 20161206, 20161206, 20161206, 20161206, 20161206, 20161206, 20161228
20151229, 20161206, 20161206, 20161206, 20161206, 20161207, 20161207, 20161229
20151230, 20161206, 20161206, 20161206, 20161206, 20161208, 20161208, 20161230
20151231, 20161206, 20161206, 20161206, 20161206, 20161209, 20161209, 20161231

