# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 96 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       7.59        7588675.78
2                      14.80        7400166.44
4                      30.03        7506890.55
8                      59.40        7425244.79
16                    119.22        7451133.21
32                    239.71        7490793.02
64                    480.92        7514405.70
128                   954.61        7457899.36
256                  1871.73        7311451.70
512                  2900.14        5664331.60
1024                 5411.14        5284312.82
2048                 9707.97        4740221.22
4096                11911.73        2908138.36
8192                12270.79        1497898.86
16384               12271.23         748976.17
32768               12215.95         372801.12
65536               11928.26         182010.85
131072              11847.27          90387.52
262144              11906.88          45421.16
524288              12079.78          23040.36
1048576             12146.99          11584.27
2097152             12199.30           5817.08
