# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                      15.53
1                      15.50
2                      15.54
4                      15.53
8                      15.51
16                     15.50
32                     15.50
64                     15.60
128                    15.58
256                    15.63
512                    15.75
1024                   15.91
2048                   16.20
4096                   17.15
8192                   19.35
16384                  20.79
32768                  22.49
65536                  26.10
131072                 69.28
262144                 87.38
524288                154.87
1048576               288.34
2097152               557.14
4194304              1058.61
